"SUID","AverageShortestPathLength","BetweennessCentrality","Class","ClosenessCentrality","ClusteringCoefficient","Core","Degree","Eccentricity","Family","Genus","IsSingleNode","Kingdom","Locus","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","Ocurrence.y1","Ocurrence.y2","Ocurrence.y3","Order","PartnerOfMultiEdgedNodePairs","Phylum","Radiality","Relative.abundance.y1","Relative.abundance.y2","Relative.abundance.y3","selected","SelfLoops","shared name","size","Species","Stress","Taxonomy","TopologicalCoefficient","TotalOcurrence","TotalRelativeabundance"
"202","3.17446809","0.00848368","c__Actinobacteria","0.3150134","0.2","yes","5","5","f__Microbacteriaceae","g__Rathayibacter","false","k__Bacteria","BacV5","BacV5_Otu_000005","9.6","5","0","0.984375","1.0","1.0","o__Actinomycetales","0","p__Actinobacteria","0.6893617","0.054096378","0.046318833","0.061139769","false","0","BacV5_Otu_000005","145740","s__caricis","3838","""k__Bacteria(100);p__Actinobacteria(100);c__Actinobacteria(100);o__Actinomycetales(100);f__Microbacteriaceae(100);g__Rathayibacter(70);s__caricis(70);""","0.2875","0.995145631","0.053915291"
"10286","3.07659574","3.792E-5","c__Alphaproteobacteria","0.32503458","0.0","no","2","5","f__Hyphomicrobiaceae","g__Devosia","false","k__Bacteria","BacV5","BacV5_Otu_000178","25.5","2","0","0.5625","0.5","0.25","o__Rhizobiales","0","p__Proteobacteria","0.70334347","5.83014E-4","0.001155645","5.26957E-4","false","0","BacV5_Otu_000178","1542","g__Devosia_unclassified","48","""k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Rhizobiales(100);f__Hyphomicrobiaceae(100);g__Devosia(100);g__Devosia_unclassified(100);""","0.56976744","0.432038835","7.58005E-4"
"10278","2.99148936","1.3742E-4","c__Tremellomycetes","0.33428165","0.66666667","no","3","5","f__Bulleraceae","g__Bullera","false","k__Fungi","Ftrad","Ftrad_Otu_00234","21.33333333","3","0","0.296875","0.614285714","0.611111111","o__Tremellales","0","p__Basidiomycota","0.71550152","8.12E-5","1.9372E-4","1.70993E-4","false","0","Ftrad_Otu_00234","748","s__Bullera_crocea","30","""k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(100);o__Tremellales(100);f__Bulleraceae(85);g__Bullera(85);s__Bullera_crocea(85);""","0.41830065","0.514563107","1.50827E-4"
"208","3.00851064","0.0","c__Dothideomycetes","0.33239038","0.0","no","1","5","f__Teratosphaeriaceae","g__Devriesia","false","k__Fungi","Ftrad","Ftrad_Otu_00187","65.0","1","0","0.171875","0.157142857","0.375","o__Capnodiales","0","p__Ascomycota","0.71306991","1.23161E-4","4.63E-5","3.97809E-4","false","0","Ftrad_Otu_00187","1118","s__Devriesia_pseudoamericana","0","""k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Capnodiales(100);f__Teratosphaeriaceae(100);g__Devriesia(100);s__Devriesia_pseudoamericana(100);""","0.0","0.237864078","1.93044E-4"
"210","2.56170213","8.293E-5","c__Dothideomycetes","0.39036545","0.73333333","no","10","4","f__Phaeosphaeriaceae","g__Paraphoma","false","k__Fungi","Ftrad","Ftrad_Otu_00135","49.6","10","0","0.59375","0.528571429","0.319444444","o__Pleosporales","0","p__Ascomycota","0.7768997","0.001082967","3.44244E-4","8.47E-5","false","0","Ftrad_Otu_00135","1795","s__Paraphoma_sp","118","""k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);f__Phaeosphaeriaceae(100);g__Paraphoma(100);s__Paraphoma_sp(97);""","0.41333333","0.475728155","4.83023E-4"
"148","2.65531915","0.01140172","c__Tremellomycetes","0.37660256","0.27272727","no","12","5","f__Bulleraceae","g__Bullera","false","k__Fungi","Ftrad","Ftrad_Otu_00017","18.33333333","12","0","0.8125","0.871428571","0.944444444","o__Tremellales","0","p__Basidiomycota","0.76352584","0.003570007","0.015842549","0.013421607","false","0","Ftrad_Otu_00017","58553","s__Bullera_crocea","8088","""k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(100);o__Tremellales(100);f__Bulleraceae(100);g__Bullera(100);s__Bullera_crocea(100);""","0.19010417","0.878640777","0.011183566"
"214","2.21276596","0.0053516","c__Sordariomycetes","0.45192308","0.63333333","no","36","4","f__Nectriaceae","g__Gibberella","false","k__Fungi","Ftrad","Ftrad_Otu_00067","50.47222222","36","0","0.703125","0.728571429","0.319444444","o__Hypocreales","0","p__Ascomycota","0.82674772","0.006522335","0.001645526","1.14062E-4","false","0","Ftrad_Otu_00067","4949","s__Gibberella_avenacea","5280","""k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Hypocreales(100);f__Nectriaceae(100);g__Gibberella(100);s__Gibberella_avenacea(92);""","0.31349206","0.577669903","0.002625382"
"215","2.01276596","0.02821839","c__Dothideomycetes","0.49682875","0.48125","no","65","4","f__Venturiaceae","g__Venturia","false","k__Fungi","Ftrad","Ftrad_Otu_00066","43.8","65","0","0.671875","0.742857143","0.138888889","o__Venturiales","0","p__Ascomycota","0.85531915","0.001403789","0.002015298","5.16E-5","false","0","Ftrad_Otu_00066","4958","g__Venturia_unclassified","22280","""k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Venturiales(100);f__Venturiaceae(100);g__Venturia(100);g__Venturia_unclassified(96);""","0.2501978","0.509708738","0.001138978"
"89","3.83829787","0.0","c__Deinococci","0.26053215","0.0","no","1","6","f__Deinococcaceae","g__Deinococcus","false","k__Bacteria","BacV5","BacV5_Otu_000124","9.0","1","0","0.8125","0.857142857","0.680555556","o__Deinococcales","0","p__[Thermi]","0.59452888","6.12491E-4","9.617E-4","8.67833E-4","false","0","BacV5_Otu_000124","2549","g__Deinococcus_unclassified","0","""k__Bacteria(100);p__[Thermi](100);c__Deinococci(100);o__Deinococcales(100);f__Deinococcaceae(100);g__Deinococcus(100);g__Deinococcus_unclassified(100);""","0.0","0.781553398","8.204E-4"
"10296","2.54468085","0.0078233","c__Cystobasidiomycetes","0.39297659","0.69230769","no","13","5","f__unclassified_Cystobasidiomycetes","g__unclassified_Cystobasidiomycetes","false","k__Fungi","Ftrad","Ftrad_Otu_00289","45.38461538","13","0","0.1875","0.457142857","0.291666667","o__unclassified_Cystobasidiomycetes","0","p__Basidiomycota","0.77933131","3.75E-5","2.51172E-4","4.79E-5","false","0","Ftrad_Otu_00289","527","s__Cystobasidiomycetes_sp","4776","""k__Fungi(100);p__Basidiomycota(100);c__Cystobasidiomycetes(100);o__unclassified_Cystobasidiomycetes(100);f__unclassified_Cystobasidiomycetes(100);g__unclassified_Cystobasidiomycetes(100);s__Cystobasidiomycetes_sp(100);""","0.38073691","0.315533981","1.13722E-4"
