NodeName,Name,SharedName,Core,TotalRelativeabundance,TotalOcurrence,Relative.abundance.y1,Relative.abundance.y2,Relative.abundance.y3,Ocurrence.y1,Ocurrence.y2,Ocurrence.y3,Locus,size,Taxonomy,Kingdom,Phylum,Class,Order,Family,Genus,Species,Month
nov_BacV5_Otu_000002,BacV5_Otu_000002,BacV5_Otu_000002,yes,0.099482087,0.995145631,0.165845624,0.092259538,0.0475142,1,0.985714286,1,BacV5,247576,k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Rhizobiales(100);f__Methylobacteriaceae(100);g__Methylobacterium(100);s__adhaesivum(100);,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methylobacteriaceae,g__Methylobacterium,s__adhaesivum,nov
nov_BacV5_Otu_000003,BacV5_Otu_000003,BacV5_Otu_000003,yes,0.103233575,1,0.092515726,0.139247369,0.077747139,1,1,1,BacV5,246897,k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Sphingomonadales(100);f__Sphingomonadaceae(100);g__Sphingomonas(100);g__Sphingomonas_unclassified(74);,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,g__Sphingomonas_unclassified,nov
nov_BacV5_Otu_000004,BacV5_Otu_000004,BacV5_Otu_000004,yes,0.066307139,0.995145631,0.043224127,0.038823534,0.113545544,1,0.985714286,1,BacV5,207303,k__Bacteria(100);p__Proteobacteria(100);c__Betaproteobacteria(100);o__Burkholderiales(100);f__Oxalobacteraceae(100);f__Oxalobacteraceae_unclassified(72);f__Oxalobacteraceae_unclassified(72);,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,f__Oxalobacteraceae_unclassified,f__Oxalobacteraceae_unclassified,nov
nov_BacV5_Otu_000005,BacV5_Otu_000005,BacV5_Otu_000005,yes,0.053915291,0.995145631,0.054096378,0.046318833,0.061139769,0.984375,1,1,BacV5,145740,k__Bacteria(100);p__Actinobacteria(100);c__Actinobacteria(100);o__Actinomycetales(100);f__Microbacteriaceae(100);g__Rathayibacter(70);s__caricis(70);,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Microbacteriaceae,g__Rathayibacter,s__caricis,nov
nov_BacV5_Otu_000006,BacV5_Otu_000006,BacV5_Otu_000006,no,0.044174682,0.72815534,0.038864447,0.005438825,0.086554751,0.65625,0.528571429,0.986111111,BacV5,128467,k__Bacteria(100);p__Firmicutes(100);c__Bacilli(100);o__Bacillales(100);f__Bacillaceae(100);g__Bacillus(99);g__Bacillus_unclassified(88);,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,g__Bacillus_unclassified,nov
nov_BacV5_Otu_000007,BacV5_Otu_000007,BacV5_Otu_000007,yes,0.039307984,0.995145631,0.060009118,0.04022802,0.020012497,1,0.985714286,1,BacV5,96118,k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Sphingomonadales(100);f__Sphingomonadaceae(100);g__Sphingomonas(100);g__Sphingomonas_unclassified(77);,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,g__Sphingomonas_unclassified,nov
nov_BacV5_Otu_000008,BacV5_Otu_000008,BacV5_Otu_000008,yes,0.026232262,0.995145631,0.009011163,0.026459856,0.041318633,0.984375,1,1,BacV5,96102,k__Bacteria(100);p__Proteobacteria(100);c__Gammaproteobacteria(100);o__Pseudomonadales(100);f__Pseudomonadaceae(100);g__Pseudomonas(100);g__Pseudomonas_unclassified(76);,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,g__Pseudomonas_unclassified,nov
nov_BacV5_Otu_000009,BacV5_Otu_000009,BacV5_Otu_000009,no,0.02897925,0.810679612,0.00922617,0.068883227,0.007742011,0.703125,0.842857143,0.875,BacV5,95683,k__Bacteria(100);p__Proteobacteria(100);c__Gammaproteobacteria(100);o__Pseudomonadales(100);f__Pseudomonadaceae(100);g__Pseudomonas(100);s__viridiflava(88);,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__viridiflava,nov
nov_BacV5_Otu_000010,BacV5_Otu_000010,BacV5_Otu_000010,yes,0.030679377,0.995145631,0.045051559,0.033067396,0.01558242,1,1,0.986111111,BacV5,71249,k__Bacteria(100);p__Proteobacteria(100);c__Betaproteobacteria(100);o__Burkholderiales(100);f__Comamonadaceae(100);g__Variovorax(63);s__paradoxus(58);,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Variovorax,s__paradoxus,nov
nov_BacV5_Otu_000011,BacV5_Otu_000011,BacV5_Otu_000011,yes,0.020365568,1,0.019407747,0.016083747,0.025379846,1,1,1,BacV5,60309,k__Bacteria(100);p__Proteobacteria(100);c__Betaproteobacteria(100);o__Burkholderiales(100);f__Oxalobacteraceae(100);f__Oxalobacteraceae_unclassified(79);f__Oxalobacteraceae_unclassified(79);,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,f__Oxalobacteraceae_unclassified,f__Oxalobacteraceae_unclassified,nov
nov_BacV5_Otu_000012,BacV5_Otu_000012,BacV5_Otu_000012,yes,0.012348518,0.995145631,0.004524464,0.003657147,0.027753177,1,0.985714286,1,BacV5,40506,k__Bacteria(100);p__Firmicutes(100);c__Bacilli(100);o__Bacillales(100);f__Bacillaceae(99);g__Bacillus(97);g__Bacillus_unclassified(56);,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,g__Bacillus_unclassified,nov
nov_BacV5_Otu_000013,BacV5_Otu_000013,BacV5_Otu_000013,yes,0.01363068,0.995145631,0.007841598,0.013723909,0.018685893,1,0.985714286,1,BacV5,40157,k__Bacteria(100);p__Actinobacteria(100);c__Actinobacteria(100);o__Actinomycetales(100);f__Nocardioidaceae(100);g__Marmoricola(100);s__korecus(68);,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Nocardioidaceae,g__Marmoricola,s__korecus,nov
nov_BacV5_Otu_000014,BacV5_Otu_000014,BacV5_Otu_000014,no,0.015215499,0.970873786,0.017710489,0.018465286,0.009838216,0.984375,0.942857143,0.986111111,BacV5,38574,k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Sphingomonadales(100);f__Sphingomonadaceae(100);g__Sphingomonas(100);s__echinoides(100);,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__echinoides,nov
nov_BacV5_Otu_000015,BacV5_Otu_000015,BacV5_Otu_000015,yes,0.013264801,0.995145631,0.013668025,0.01065854,0.015440244,1,0.985714286,1,BacV5,34926,k__Bacteria(100);p__Actinobacteria(100);c__Actinobacteria(100);o__Actinomycetales(100);f__Nocardioidaceae(100);g__Aeromicrobium(100);g__Aeromicrobium_unclassified(100);,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Nocardioidaceae,g__Aeromicrobium,g__Aeromicrobium_unclassified,nov
nov_BacV5_Otu_000016,BacV5_Otu_000016,BacV5_Otu_000016,no,0.014165973,0.966019417,0.010041649,0.015044237,0.01697817,0.984375,0.985714286,0.930555556,BacV5,34436,k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Sphingomonadales(100);f__Sphingomonadaceae(100);g__Sphingomonas(100);s__asaccharolytica(90);,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__asaccharolytica,nov
nov_BacV5_Otu_000022,BacV5_Otu_000022,BacV5_Otu_000022,no,0.008370259,0.902912621,0.003066222,0.016067537,0.005601493,0.8125,0.957142857,0.930555556,BacV5,21018,k__Bacteria(100);p__Actinobacteria(100);c__Actinobacteria(100);o__Actinomycetales(100);f__Microbacteriaceae(100);f__Microbacteriaceae_unclassified(95);f__Microbacteriaceae_unclassified(95);,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Microbacteriaceae,f__Microbacteriaceae_unclassified,f__Microbacteriaceae_unclassified,nov
nov_BacV5_Otu_000025,BacV5_Otu_000025,BacV5_Otu_000025,no,0.007516672,0.966019417,0.013665274,0.004015927,0.00545475,0.96875,0.942857143,0.986111111,BacV5,18733,k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Rhizobiales(100);f__Rhizobiaceae(97);g__Agrobacterium(55);g__Agrobacterium_unclassified(55);,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Agrobacterium,g__Agrobacterium_unclassified,nov
nov_BacV5_Otu_000027,BacV5_Otu_000027,BacV5_Otu_000027,no,0.005273519,0.961165049,0.002541831,0.002371438,0.010523153,0.984375,0.9,1,BacV5,17690,k__Bacteria(100);p__Proteobacteria(100);c__Betaproteobacteria(100);o__Burkholderiales(100);f__Oxalobacteraceae(100);f__Oxalobacteraceae_unclassified(59);f__Oxalobacteraceae_unclassified(59);,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,f__Oxalobacteraceae_unclassified,f__Oxalobacteraceae_unclassified,nov
nov_BacV5_Otu_000028,BacV5_Otu_000028,BacV5_Otu_000028,no,0.009201947,0.67961165,0.015717972,0.006257783,0.006272307,0.859375,0.685714286,0.513888889,BacV5,17657,k__Bacteria(100);p__Actinobacteria(100);c__Actinobacteria(100);o__Actinomycetales(100);f__Micrococcaceae(100);f__Micrococcaceae_unclassified(90);f__Micrococcaceae_unclassified(90);,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Micrococcaceae,f__Micrococcaceae_unclassified,f__Micrococcaceae_unclassified,nov
nov_BacV5_Otu_000030,BacV5_Otu_000030,BacV5_Otu_000030,no,0.006026487,0.970873786,0.005898348,0.006645702,0.005538375,0.984375,0.928571429,1,BacV5,17322,k__Bacteria(100);p__Proteobacteria(100);c__Betaproteobacteria(100);o__Methylophilales(100);f__Methylophilaceae(100);g__Methylotenera(100);g__Methylotenera_unclassified(75);,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Methylophilales,f__Methylophilaceae,g__Methylotenera,g__Methylotenera_unclassified,nov
nov_BacV5_Otu_000031,BacV5_Otu_000031,BacV5_Otu_000031,no,0.006063739,0.946601942,0.004354994,0.01006932,0.003688308,0.9375,0.942857143,0.958333333,BacV5,15727,k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Rhizobiales(100);f__Methylobacteriaceae(100);g__Methylobacterium(100);g__Methylobacterium_unclassified(68);,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methylobacteriaceae,g__Methylobacterium,g__Methylobacterium_unclassified,nov
nov_BacV5_Otu_000033,BacV5_Otu_000033,BacV5_Otu_000033,yes,0.004529802,0.990291262,0.002233046,0.005512602,0.005615863,0.984375,0.985714286,1,BacV5,13735,k__Bacteria(100);p__Actinobacteria(100);c__Actinobacteria(100);o__Actinomycetales(100);f__Micrococcaceae(100);g__Arthrobacter(100);s__oryzae(100);,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Micrococcaceae,g__Arthrobacter,s__oryzae,nov
nov_BacV5_Otu_000034,BacV5_Otu_000034,BacV5_Otu_000034,no,0.004530875,0.975728155,0.004412969,0.003528029,0.005610669,0.96875,0.971428571,0.986111111,BacV5,13631,k__Bacteria(100);p__Proteobacteria(100);c__Betaproteobacteria(100);o__Burkholderiales(100);f__Comamonadaceae(100);g__Methylibium(84);g__Methylibium_unclassified(83);,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Methylibium,g__Methylibium_unclassified,nov
nov_BacV5_Otu_000036,BacV5_Otu_000036,BacV5_Otu_000036,no,0.005554567,0.873786408,0.00960492,0.004554639,0.002926405,0.953125,0.785714286,0.888888889,BacV5,13059,k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Rhizobiales(100);f__Methylobacteriaceae(100);g__Methylobacterium(100);s__adhaesivum(98);,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methylobacteriaceae,g__Methylobacterium,s__adhaesivum,nov
nov_BacV5_Otu_000037,BacV5_Otu_000037,BacV5_Otu_000037,no,0.00488401,0.868932039,0.008759734,0.002643524,0.003617172,0.96875,0.828571429,0.819444444,BacV5,12916,k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Sphingomonadales(100);f__Sphingomonadaceae(100);g__Sphingomonas(100);g__Sphingomonas_unclassified(100);,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,g__Sphingomonas_unclassified,nov
nov_BacV5_Otu_000039,BacV5_Otu_000039,BacV5_Otu_000039,no,0.004862888,0.849514563,0.002958988,0.005970559,0.005478341,0.75,0.957142857,0.833333333,BacV5,12584,k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Sphingomonadales(100);f__Sphingomonadaceae(100);g__Sphingomonas(100);s__echinoides(96);,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__echinoides,nov
nov_BacV5_Otu_000040,BacV5_Otu_000040,BacV5_Otu_000040,no,0.003693618,0.936893204,0.00147142,0.001490615,0.007810713,0.9375,0.871428571,1,BacV5,12448,k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Sphingomonadales(100);f__Sphingomonadaceae(100);g__Kaistobacter(100);g__Kaistobacter_unclassified(100);,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Kaistobacter,g__Kaistobacter_unclassified,nov
nov_BacV5_Otu_000041,BacV5_Otu_000041,BacV5_Otu_000041,no,0.00400045,0.966019417,0.001791595,0.001831148,0.008072918,0.96875,0.928571429,1,BacV5,12422,k__Bacteria(100);p__Actinobacteria(100);c__Actinobacteria(100);o__Actinomycetales(100);f__Nocardioidaceae(100);g__Nocardioides(98);s__jensenii(96);,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Nocardioidaceae,g__Nocardioides,s__jensenii,nov
nov_BacV5_Otu_000042,BacV5_Otu_000042,BacV5_Otu_000042,no,0.006100889,0.398058252,0.018011283,0.001396763,8.73e-05,0.84375,0.285714286,0.111111111,BacV5,12185,k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Sphingomonadales(100);f__Sphingomonadaceae(100);g__Sphingomonas(99);g__Sphingomonas_unclassified(99);,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,g__Sphingomonas_unclassified,nov
nov_BacV5_Otu_000043,BacV5_Otu_000043,BacV5_Otu_000043,no,0.003911586,0.961165049,0.001922785,0.003028757,0.006537716,0.9375,0.942857143,1,BacV5,11545,k__Bacteria(100);p__Proteobacteria(100);c__Betaproteobacteria(100);o__Burkholderiales(100);f__Oxalobacteraceae(100);f__Oxalobacteraceae_unclassified(85);f__Oxalobacteraceae_unclassified(85);,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,f__Oxalobacteraceae_unclassified,f__Oxalobacteraceae_unclassified,nov
nov_BacV5_Otu_000044,BacV5_Otu_000044,BacV5_Otu_000044,no,0.004535869,0.485436893,0.000181813,0.012965896,0.000210283,0.515625,0.714285714,0.236111111,BacV5,11544,k__Bacteria(100);p__Proteobacteria(100);c__Gammaproteobacteria(100);o__Xanthomonadales(100);f__Xanthomonadaceae(100);f__Xanthomonadaceae_unclassified(86);f__Xanthomonadaceae_unclassified(86);,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,f__Xanthomonadaceae_unclassified,f__Xanthomonadaceae_unclassified,nov
nov_BacV5_Otu_000045,BacV5_Otu_000045,BacV5_Otu_000045,no,0.003885285,0.922330097,0.003025614,0.0042543,0.004290672,0.90625,0.871428571,0.986111111,BacV5,11510,k__Bacteria(100);p__Bacteroidetes(100);c__Flavobacteriia(100);o__Flavobacteriales(100);f__Flavobacteriaceae(100);g__Flavobacterium(100);s__succinicans(91);,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__succinicans,nov
nov_BacV5_Otu_000046,BacV5_Otu_000046,BacV5_Otu_000046,no,0.003994142,0.752427184,0.001180323,0.004800571,0.005711286,0.625,0.757142857,0.861111111,BacV5,11379,k__Bacteria(100);p__Bacteroidetes(100);c__Flavobacteriia(100);o__Flavobacteriales(100);f__Flavobacteriaceae(100);g__Flavobacterium(100);s__succinicans(99);,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__succinicans,nov
nov_BacV5_Otu_000048,BacV5_Otu_000048,BacV5_Otu_000048,no,0.004535549,0.912621359,0.006049934,0.002776783,0.004899339,0.90625,0.928571429,0.902777778,BacV5,11027,k__Bacteria(100);p__Proteobacteria(100);c__Deltaproteobacteria(100);o__Myxococcales(100);f__Polyangiaceae(100);g__Aetherobacter(100);s__fasciculatus(100);,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Polyangiaceae,g__Aetherobacter,s__fasciculatus,nov
nov_BacV5_Otu_000050,BacV5_Otu_000050,BacV5_Otu_000050,no,0.003639341,0.902912621,0.00382969,0.00220158,0.004867964,0.90625,0.9,0.902777778,BacV5,10291,k__Bacteria(100);p__Actinobacteria(100);c__Actinobacteria(100);o__Actinomycetales(100);f__Nocardiaceae(100);f__Nocardiaceae_unclassified(91);f__Nocardiaceae_unclassified(91);,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Nocardiaceae,f__Nocardiaceae_unclassified,f__Nocardiaceae_unclassified,nov
nov_BacV5_Otu_000051,BacV5_Otu_000051,BacV5_Otu_000051,no,0.003279044,0.257281553,6.8e-05,0.009483078,0.000101575,0.296875,0.342857143,0.138888889,BacV5,10024,k__Bacteria(100);p__Proteobacteria(100);c__Betaproteobacteria(100);o__Burkholderiales(100);f__Comamonadaceae(100);g__Limnobacter(100);g__Limnobacter_unclassified(83);,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Limnobacter,g__Limnobacter_unclassified,nov
nov_BacV5_Otu_000052,BacV5_Otu_000052,BacV5_Otu_000052,no,0.003274628,0.961165049,0.004432532,0.002792063,0.00271454,0.984375,0.914285714,0.986111111,BacV5,9953,k__Bacteria(100);p__Proteobacteria(100);c__Betaproteobacteria(100);o__Methylophilales(100);f__Methylophilaceae(100);f__Methylophilaceae_unclassified(51);f__Methylophilaceae_unclassified(51);,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Methylophilales,f__Methylophilaceae,f__Methylophilaceae_unclassified,f__Methylophilaceae_unclassified,nov
nov_BacV5_Otu_000053,BacV5_Otu_000053,BacV5_Otu_000053,no,0.00358345,0.868932039,0.003355175,0.005463862,0.001958183,0.9375,0.928571429,0.75,BacV5,9926,k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Rhizobiales(100);f__Aurantimonadaceae(100);f__Aurantimonadaceae_unclassified(100);f__Aurantimonadaceae_unclassified(100);,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Aurantimonadaceae,f__Aurantimonadaceae_unclassified,f__Aurantimonadaceae_unclassified,nov
nov_BacV5_Otu_000055,BacV5_Otu_000055,BacV5_Otu_000055,no,0.003477188,0.961165049,0.004785858,0.003828681,0.001972196,0.96875,0.942857143,0.972222222,BacV5,9533,k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Caulobacterales(100);f__Caulobacteraceae(100);f__Caulobacteraceae_unclassified(100);f__Caulobacteraceae_unclassified(100);,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,f__Caulobacteraceae_unclassified,f__Caulobacteraceae_unclassified,nov
nov_BacV5_Otu_000057,BacV5_Otu_000057,BacV5_Otu_000057,no,0.003177773,0.975728155,0.001886371,0.004087713,0.003441021,0.984375,0.942857143,1,BacV5,9144,k__Bacteria(100);p__Actinobacteria(100);c__Actinobacteria(100);o__Actinomycetales(100);f__Nocardioidaceae(100);g__Nocardioides(100);g__Nocardioides_unclassified(98);,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Nocardioidaceae,g__Nocardioides,g__Nocardioides_unclassified,nov
nov_BacV5_Otu_000058,BacV5_Otu_000058,BacV5_Otu_000058,no,0.003061787,0.927184466,0.005296922,0.002259849,0.001854661,0.921875,0.871428571,0.986111111,BacV5,8535,k__Bacteria(100);p__Proteobacteria(100);c__Betaproteobacteria(100);o__Burkholderiales(100);f__Oxalobacteraceae(100);f__Oxalobacteraceae_unclassified(80);f__Oxalobacteraceae_unclassified(80);,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,f__Oxalobacteraceae_unclassified,f__Oxalobacteraceae_unclassified,nov
nov_BacV5_Otu_000059,BacV5_Otu_000059,BacV5_Otu_000059,no,0.002493474,0.970873786,0.002010806,0.001176001,0.00420339,1,0.914285714,1,BacV5,7353,k__Bacteria(100);p__Actinobacteria(100);c__Thermoleophilia(100);o__Solirubrobacterales(100);f__Solirubrobacteraceae(62);f__Solirubrobacteraceae_unclassified(62);f__Solirubrobacteraceae_unclassified(62);,k__Bacteria,p__Actinobacteria,c__Thermoleophilia,o__Solirubrobacterales,f__Solirubrobacteraceae,f__Solirubrobacteraceae_unclassified,f__Solirubrobacteraceae_unclassified,nov
nov_BacV5_Otu_000060,BacV5_Otu_000060,BacV5_Otu_000060,no,0.003227144,0.577669903,0.005600034,0.003557978,0.000796265,0.765625,0.557142857,0.430555556,BacV5,7292,k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Rhizobiales(100);f__Aurantimonadaceae(100);f__Aurantimonadaceae_unclassified(100);f__Aurantimonadaceae_unclassified(100);,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Aurantimonadaceae,f__Aurantimonadaceae_unclassified,f__Aurantimonadaceae_unclassified,nov
nov_BacV5_Otu_000061,BacV5_Otu_000061,BacV5_Otu_000061,no,0.002779061,0.694174757,0.002454489,0.003881316,0.001995933,0.828125,0.657142857,0.611111111,BacV5,7222,k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Rhizobiales(100);f__Rhizobiaceae(100);g__Agrobacterium(89);g__Agrobacterium_unclassified(89);,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Agrobacterium,g__Agrobacterium_unclassified,nov
nov_BacV5_Otu_000062,BacV5_Otu_000062,BacV5_Otu_000062,no,0.0023606,0.936893204,0.001272651,0.002365971,0.003322443,0.9375,0.928571429,0.944444444,BacV5,7130,k__Bacteria(100);p__Actinobacteria(100);c__Actinobacteria(100);o__Actinomycetales(100);o__Actinomycetales_unclassified(98);o__Actinomycetales_unclassified(98);o__Actinomycetales_unclassified(98);,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,o__Actinomycetales_unclassified,o__Actinomycetales_unclassified,o__Actinomycetales_unclassified,nov
nov_BacV5_Otu_000063,BacV5_Otu_000063,BacV5_Otu_000063,no,0.00232752,0.970873786,0.001115028,0.001972076,0.003750861,0.96875,0.942857143,1,BacV5,7116,k__Bacteria(100);p__Actinobacteria(100);c__Actinobacteria(100);o__Actinomycetales(100);f__Intrasporangiaceae(100);g__Phycicoccus(100);g__Phycicoccus_unclassified(100);,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Intrasporangiaceae,g__Phycicoccus,g__Phycicoccus_unclassified,nov
nov_BacV5_Otu_000064,BacV5_Otu_000064,BacV5_Otu_000064,no,0.002467623,0.936893204,0.001793457,0.003372207,0.002187426,0.96875,0.942857143,0.902777778,BacV5,7009,k__Bacteria(100);p__Actinobacteria(100);c__Actinobacteria(100);o__Actinomycetales(100);f__Nocardioidaceae(100);g__Nocardioides(100);s__plantarum(99);,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Nocardioidaceae,g__Nocardioides,s__plantarum,nov
nov_BacV5_Otu_000065,BacV5_Otu_000065,BacV5_Otu_000065,no,0.002472702,0.985436893,0.002621826,0.001897138,0.002899723,1,0.957142857,1,BacV5,6814,k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(99);o__Rhizobiales(95);o__Rhizobiales_unclassified(95);o__Rhizobiales_unclassified(95);o__Rhizobiales_unclassified(95);,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,o__Rhizobiales_unclassified,o__Rhizobiales_unclassified,o__Rhizobiales_unclassified,nov
nov_BacV5_Otu_000066,BacV5_Otu_000066,BacV5_Otu_000066,no,0.002436565,0.932038835,0.002557688,0.002418668,0.0023463,0.9375,0.928571429,0.930555556,BacV5,6517,k__Bacteria(100);p__Proteobacteria(100);c__Betaproteobacteria(100);o__Burkholderiales(100);f__Comamonadaceae(100);f__Comamonadaceae_unclassified(79);f__Comamonadaceae_unclassified(79);,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,f__Comamonadaceae_unclassified,f__Comamonadaceae_unclassified,nov
nov_BacV5_Otu_000067,BacV5_Otu_000067,BacV5_Otu_000067,no,0.002967938,0.63592233,0.003523699,0.003680161,0.001781491,0.734375,0.714285714,0.472222222,BacV5,6494,k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Sphingomonadales(100);f__Sphingomonadaceae(100);g__Sphingomonas(100);s__wittichii(99);,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__wittichii,nov
nov_BacV5_Otu_000068,BacV5_Otu_000068,BacV5_Otu_000068,no,0.001949139,0.90776699,0.001287011,0.000766085,0.003687889,0.890625,0.914285714,0.916666667,BacV5,6391,k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Rhizobiales(100);f__Rhizobiaceae(94);f__Rhizobiaceae_unclassified(94);f__Rhizobiaceae_unclassified(94);,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,f__Rhizobiaceae_unclassified,f__Rhizobiaceae_unclassified,nov
